,index,0
1224,jarl,11
1225,normands,85
1226,rouen,77
1227,richard,214
1228,donner,263
1229,pairs,30
1230,primitifs,8
1231,officieusement,4
1232,reine,310
1233,bretagne,506
1234,irlande,147
1235,administration,299
1236,reposait,11
1237,comtes,74
1238,vicomtes,9
1239,premiers,737
1240,apparaissent,125
1241,principat,27
1242,localisation,37
1243,garde,290
1244,ducaux,6
1245,perception,55
1246,revenus,128
1247,perdu,141
1248,fonction,644
1249,mauvaise,93
1250,complot,21
1251,guerlenc,1
1252,inverse,119
1253,imposer,94
1254,charge,258
1255,toujours,814
1256,subdivisions,11
1257,certaines,733
1258,correspondaient,6
1259,avranchin,3
1260,titulaire,83
1261,prenaient,15
1262,envoyaient,3
1263,cour,385
1264,ducale,18
1265,vicomtale,1
1266,dynasties,8
1267,pourtant,254
1268,vicomte,28
1269,cotentin,10
1270,elles,1064
1271,baronnies,3
1272,sherifs,1
1273,maintien,91
1274,corollaire,8
1275,rois,168
1276,ducs,68
1277,baillies,1
1278,bailli,15
1279,non,1366
1280,semblables,29
1281,bailliage,52
1282,synonyme,32
1283,impose,154
1284,seigneuries,17
1285,propre,422
1286,perdura,6
1287,faits,139
1288,baillis,5
1289,perdissent,1
1290,essentiel,145
1291,attributions,15
1292,profit,199
1293,intendants,3
1294,grosso,10
1295,modo,6
1296,passais,1
1297,domfront,2
1298,relevait,14
1299,mans,56
1300,exemption,12
1301,samson,8
1302,estuaire,36
1303,dol,7
1304,historiens,127
1305,plu,4
1306,vanter,1
1307,viking,36
1308,renvoi,17
1309,peuple,313
1310,scandinave,53
1311,servi,83
1312,support,77
1313,normande,38
1314,quelque,233
1315,peu,1520
1316,affaiblie,9
1317,offre,244
1318,image,308
1319,empreinte,27
1320,somme,134
1321,pratiques,96
1322,survivance,8
1323,origines,112
1324,judith,8
1325,rite,39
1326,papia,2
1327,mode,218
1328,danoise,15
1329,more,15
1330,danico,3
1331,flotte,150
1332,pillards,7
1333,filiation,21
1334,noble,57
1335,rendue,38
1336,adjonction,8
1337,filz,2
1338,fitz,7
1339,fils,1171
1340,pratique,312
1341,germanique,152
1342,ajouter,66
1343,nommer,54
1344,institutionnel,8
1345,nouveaux,375
1346,moulent,1
1347,organisation,391
1348,carolingienne,17
1349,autoproclament,1
1350,parfois,723
1351,marquis,62
1352,autant,328
1353,titulatures,2
1354,romaine,265
1355,franque,19
1356,carolingiens,14
1357,droit,714
1358,battre,65
1359,monnaie,79
1360,seulement,632
1361,ullac,2
1362,bannissement,6
1363,hamfara,2
1364,assauts,19
1365,main,284
1366,alliances,33
1367,matrimoniales,1
1368,renforcent,18
1369,coupure,13
1370,filles,187
1371,danois,56
1372,prendre,433
1373,celles,462
1374,quelle,73
1375,meilleure,187
1376,preuve,122
1377,acculturation,3
1378,perte,148
1379,langue,823
1380,norrois,26
1381,latin,310
1382,actes,109
1383,parler,173
1384,local,135
1385,emportent,12
1386,seul,649
1387,vocabulaire,39
1388,marin,97
1389,maritime,197
1390,emprunte,17
1391,beaucoup,706
1392,vue,392
1393,impression,75
1394,presque,355
1395,rien,236
1396,cherchent,44
1397,vain,49
1398,traces,98
1399,types,255
1400,produits,439
1401,paroisses,52
1402,restent,160
1403,village,412
1404,bref,29
1405,neustrie,12
1406,comment,89
1407,expliquer,75
1408,francisation,13
1409,incluse,24
1410,clair,83
1411,epte,10
1412,sait,131
1413,essence,69
1414,culture,473
1415,civilisation,85
1416,occidentale,153
1417,nombre,1267
1418,immigrants,20
1419,scandinaves,52
1420,former,157
1421,explication,55
1422,avons,41
1423,estimation,34
1424,caux,8
1425,roumois,1
1426,affichent,9
1427,toponymes,32
1428,termine,587
1429,beuf,2
1430,bot,2
1431,issu,147
1432,mot,408
1433,buth,1
1434,bec,34
1435,bekkr,1
1436,ruisseau,51
1437,dalle,9
1438,dalr,2
1439,londe,2
1440,lundr,2
1441,tot,5
1442,topt,1
1443,habitation,52
1444,noms,211
1445,abondance,32
1446,croire,59
1447,colonisation,63
1448,dense,44
1449,afflux,14
1450,colons,74
1451,nordique,23
1452,fermiers,19
1453,originaires,42
1454,britanniques,205
1455,pouvaient,120
1456,saxons,31
1457,voire,233
1458,celtes,23
1459,part,995
1460,autre,1569
1461,absence,213
1462,influences,47
1463,doute,214
1464,religieuse,163
1465,invasions,37
1466,fuir,36
1467,moines,159
1468,font,627
1469,appel,222
1470,relever,27
1471,abbayes,32
1472,italien,255
1473,volpiano,1
1474,dijon,42
1475,restaurer,29
1476,quant,330
1477,aristocratie,52
1478,apport,43
1479,sauf,172
1480,exception,203
1481,tosny,2
1482,giroie,1
1483,aristocrates,12
1484,descendent,12
1485,compagnons,57
1486,subalterne,6
1487,noblesse,123
1488,particularisme,3
1489,semble,380
1490,rapidement,431
1491,regards,7
1492,tournent,20
1493,historien,136
1494,neveux,20
1495,publique,259
1496,emporte,47
1497,conteste,19
1498,met,406
1499,structure,232
1500,efficace,70
1501,institutions,153
1502,solides,23
1503,bonne,237
1504,conclusion,34
1505,appuis,15
1506,parviennent,69
1507,conserver,99
1508,protecteurs,6
1509,nomment,28
1510,direct,131
1511,quiconque,9
1512,attaque,326
1513,marchand,24
1514,chevalier,78
1515,rendant,59
1516,ost,10
1517,affaire,159
1518,successeurs,46
1519,monarques,12
1520,hauts,85
1521,fonctionnaires,70
1522,exercent,25
1523,permet,961
1524,obtenir,243
1525,oblige,53
1526,perfectionner,9
1527,souverains,46
1528,peuvent,830
1529,difficilement,36
1530,tenir,87
1531,manche,100
1532,permanentes,21
1533,voient,91
1534,henri,531
1535,office,175
1536,justicier,6
1537,administrer,16
1538,justiciers,5
1539,rappelle,120
1540,missi,2
1541,dominici,5
1542,charlemagne,35
1543,ducal,7
1544,caen,16
1545,assure,139
1546,comptes,45
1547,retrouve,417
1548,perd,239
1549,servent,73
1550,exemples,143
1551,coutume,99
1552,reprenant,43
1553,administrateurs,18
1554,locaux,163
1555,sert,157
1556,notons,18
1557,beauclerc,3
1558,ici,163
1559,institution,62
1560,anglaise,120
1561,puissante,67
1562,davantage,127
1563,nuances,17
1564,plonge,19
1565,anarchie,12
1566,successions,19
1567,ducales,4
1568,passent,74
1569,trop,415
1570,debord,1
1571,constate,47
1572,crise,247
1573,temps,1539
1574,assurance,30
1575,difficiles,81
